player_name,team_name,league,nationality,position,alt_position,ovr,team_id
Kylian Mbappé,Real Madrid,LALIGA EA SPORTS,France,ST,['LW'],91,1
Rodri,Manchester City,Premier League,Spain,CDM,['CM'],91,2
Erling Haaland,Manchester City,Premier League,Norway,ST,,91,2
Jude Bellingham,Real Madrid,LALIGA EA SPORTS,England,CAM,['CM'],90,1
Vini Jr.,Real Madrid,LALIGA EA SPORTS,Brazil,LW,"['ST', 'LM']",90,1
Kevin De Bruyne,Manchester City,Premier League,Belgium,CM,['CAM'],90,2
Harry Kane,FC Bayern München,Bundesliga,England,ST,,90,3
Martin Ødegaard,Arsenal,Premier League,Norway,CM,['CAM'],89,4
Gianluigi Donnarumma,Paris SG,Ligue 1 McDonald's,Italy,GK,,89,5
Alisson,Liverpool,Premier League,Brazil,GK,,89,6
Thibaut Courtois,Real Madrid,LALIGA EA SPORTS,Belgium,GK,,89,1
Lautaro Martínez,Inter,Serie A Enilive,Argentina,ST,,89,7
Virgil van Dijk,Liverpool,Premier League,Holland,CB,,89,6
Marc-André ter Stegen,FC Barcelona,LALIGA EA SPORTS,Germany,GK,,89,8
Mohamed Salah,Liverpool,Premier League,Egypt,RW,['RM'],89,6
Phil Foden,Manchester City,Premier League,England,RW,"['LW', 'CAM', 'RM']",88,2
Antoine Griezmann,Atlético de Madrid,LALIGA EA SPORTS,France,ST,,88,9
Rúben Dias,Manchester City,Premier League,Portugal,CB,,88,2
Robert Lewandowski,FC Barcelona,LALIGA EA SPORTS,Poland,ST,,88,8
Federico Valverde,Real Madrid,LALIGA EA SPORTS,Uruguay,CM,['RM'],88,1
Ederson,Manchester City,Premier League,Brazil,GK,,88,2
Bernardo Silva,Manchester City,Premier League,Portugal,CM,['RW'],88,2
Jan Oblak,Atlético de Madrid,LALIGA EA SPORTS,Slovenia,GK,,88,9
Antonio Rüdiger,Real Madrid,LALIGA EA SPORTS,Germany,CB,,88,1
Florian Wirtz,Liverpool,Premier League,Germany,CAM,['LM'],88,6
Gregor Kobel,Borussia Dortmund,Bundesliga,Switzerland,GK,,88,11
William Saliba,Arsenal,Premier League,France,CB,,87,4
Victor Osimhen,Galatasaray,Trendyol Süper Lig,Nigeria,ST,,87,12
Jamal Musiala,FC Bayern München,Bundesliga,Germany,CAM,"['LM', 'CM']",87,3
Bukayo Saka,Arsenal,Premier League,England,RW,['RM'],87,4
Paulo Dybala,AS Roma,Serie A Enilive,Argentina,CAM,['ST'],87,13
Theo Hernández,AC Milan,Serie A Enilive,France,LB,['LM'],87,14
Declan Rice,Arsenal,Premier League,England,CDM,['CM'],87,4
Frenkie de Jong,FC Barcelona,LALIGA EA SPORTS,Holland,CM,['CDM'],87,8
Mike Maignan,AC Milan,Serie A Enilive,France,GK,,87,14
Bruno Fernandes,Man Utd,Premier League,Portugal,CAM,['CM'],87,15
Heung Min Son,Spurs,Premier League,Korea Republic,ST,['LM'],87,16
Marquinhos,Paris SG,Ligue 1 McDonald's,Brazil,CB,,87,5
Alessandro Bastoni,Inter,Serie A Enilive,Italy,CB,,87,7
Ýlkay Gündoðan,Manchester City,Premier League,Germany,CM,['CDM'],87,2
Emiliano Martínez,Aston Villa,Premier League,Argentina,GK,,87,17
Nicolò Barella,Inter,Serie A Enilive,Italy,CM,['CDM'],87,7
Yann Sommer,Inter,Serie A Enilive,Switzerland,GK,,87,7
Gabriel,Arsenal,Premier League,Brazil,CB,,86,4
Rodrygo,Real Madrid,LALIGA EA SPORTS,Brazil,RW,"['ST', 'RM']",86,1
Rafael Leão,AC Milan,Serie A Enilive,Portugal,LW,"['LM', 'ST']",86,14
Grimaldo,Leverkusen,Bundesliga,Spain,LM,"['LB', 'LW']",86,10
Alexis Mac Allister,Liverpool,Premier League,Argentina,CM,['CDM'],86,6
Carvajal,Real Madrid,LALIGA EA SPORTS,Spain,RB,,86,1
Ousmane Dembélé,Paris SG,Ligue 1 McDonald's,France,RW,"['CAM', 'RM']",86,5
Trent Alexander-Arnold,Liverpool,Premier League,England,RB,,86,6
Pedri,FC Barcelona,LALIGA EA SPORTS,Spain,CM,['LW'],86,8
Jonathan Tah,FC Bayern München,Bundesliga,Germany,CB,,86,3
Bremer,Juventus,Serie A Enilive,Brazil,CB,,86,18
Joshua Kimmich,FC Bayern München,Bundesliga,Germany,RB,"['CDM', 'CM']",86,3
Unai Simón,Athletic Club,LALIGA EA SPORTS,Spain,GK,,86,19
Manuel Neuer,FC Bayern München,Bundesliga,Germany,GK,,86,3
Hakan Çalhanoðlu,Inter,Serie A Enilive,Turkey,CDM,['CM'],86,7
Khvicha Kvaratskhelia,SSC Napoli,Serie A Enilive,Georgia,LW,"['RW', 'LM']",85,20
David Alaba,Real Madrid,LALIGA EA SPORTS,Austria,CB,['LB'],85,1
Ronald Araujo,FC Barcelona,LALIGA EA SPORTS,Uruguay,CB,['RB'],85,8
Julian Brandt,Borussia Dortmund,Bundesliga,Germany,CAM,"['RM', 'CM']",85,11
Éder Militão,Real Madrid,LALIGA EA SPORTS,Brazil,CB,,85,1
Bruno Guimarães,Newcastle Utd,Premier League,Brazil,CDM,['CM'],85,21
Alexander Isak,Newcastle Utd,Premier League,Sweden,ST,,85,21
Jules Koundé,FC Barcelona,LALIGA EA SPORTS,France,RB,['CB'],85,8
Vitinha,Paris SG,Ligue 1 McDonald's,Portugal,CM,['CDM'],85,5
James Maddison,Spurs,Premier League,England,CAM,['RM'],85,16
Giorgi Mamardashvili,Valencia CF,LALIGA EA SPORTS,Georgia,GK,,85,22
Mikel Merino,Arsenal,Premier League,Spain,CM,['CAM'],85,4
Loïs Openda,RB Leipzig,Bundesliga,Belgium,ST,,85,23
Palhinha,Spurs,Premier League,Portugal,CDM,['CM'],85,16
Cole Palmer,Chelsea,Premier League,England,RM,"['CAM', 'RW']",85,24
Andrew Robertson,Liverpool,Premier League,Scotland,LB,,85,6
Leroy Sané,Galatasaray,Trendyol Süper Lig,Germany,RM,"['LM', 'RW']",85,12
Nico Schlotterbeck,Borussia Dortmund,Bundesliga,Germany,CB,,85,11
John Stones,Manchester City,Premier League,England,CB,"['CDM', 'RB']",85,2
Aurélien Tchouaméni,Real Madrid,LALIGA EA SPORTS,France,CDM,"['CM', 'CB']",85,1
Diogo Jota,Liverpool,Premier League,Portugal,ST,['LW'],85,6
Sandro Tonali,Newcastle Utd,Premier League,Italy,CDM,['CM'],85,21
Ollie Watkins,Aston Villa,Premier League,England,ST,,85,17
Nico Williams,Athletic Club,LALIGA EA SPORTS,Spain,LM,"['RM', 'LW']",85,19
Francesco Acerbi,Inter,Serie A Enilive,Italy,CB,,84,7
Manuel Akanji,Manchester City,Premier League,Switzerland,CB,,84,2
Nathan Aké,Manchester City,Premier League,Holland,CB,['LB'],84,2
Julián Álvarez,Atlético de Madrid,LALIGA EA SPORTS,Argentina,ST,['CAM'],84,9
Iago Aspas,RC Celta,LALIGA EA SPORTS,Spain,ST,,84,25
Federico Chiesa,Liverpool,Premier League,Italy,RW,"['LW', 'ST', 'RM']",84,6
Kingsley Coman,FC Bayern München,Bundesliga,France,LM,"['RM', 'LW']",84,3
Matthijs de Ligt,Man Utd,Premier League,Holland,CB,,84,15
Rodrigo De Paul,Atlético de Madrid,LALIGA EA SPORTS,Argentina,CM,['CDM'],84,9
Raphinha,FC Barcelona,LALIGA EA SPORTS,Brazil,RW,"['LW', 'RM']",84,8
Luis Díaz,FC Bayern München,Bundesliga,Colombia,LW,"['RW', 'LM']",84,3
Federico Dimarco,Inter,Serie A Enilive,Italy,LB,['LM'],84,7
Artem Dovbyk,AS Roma,Serie A Enilive,Ukraine,ST,,84,13
Jeremie Frimpong,Liverpool,Premier League,Holland,RM,"['RB', 'RW']",84,6
Aleix García,Leverkusen,Bundesliga,Spain,CM,['CDM'],84,10
Jack Grealish,Manchester City,Premier League,England,LW,['LM'],84,2
Serhou Guirassy,Borussia Dortmund,Bundesliga,Guinea,ST,,84,11
Viktor Gyökeres,Sporting CP,Liga Portugal,Sweden,ST,['LW'],84,26
Achraf Hakimi,Paris SG,Ligue 1 McDonald's,Morocco,RB,,84,5
