team_name,team_id,league
Real Madrid,1,LALIGA EA SPORTS
Manchester City,2,Premier League
FC Bayern München,3,Bundesliga
Arsenal,4,Premier League
Paris SG,5,Ligue 1 McDonald's
Liverpool,6,Premier League
Inter,7,Serie A Enilive
FC Barcelona,8,LALIGA EA SPORTS
Atlético de Madrid,9,LALIGA EA SPORTS
Leverkusen,10,Bundesliga
Borussia Dortmund,11,Bundesliga
Galatasaray,12,Trendyol Süper Lig
AS Roma,13,Serie A Enilive
AC Milan,14,Serie A Enilive
Man Utd,15,Premier League
Spurs,16,Premier League
Aston Villa,17,Premier League
Juventus,18,Serie A Enilive
Athletic Club,19,LALIGA EA SPORTS
SSC Napoli,20,Serie A Enilive
Newcastle Utd,21,Premier League
Valencia CF,22,LALIGA EA SPORTS
RB Leipzig,23,Bundesliga
Chelsea,24,Premier League
RC Celta,25,LALIGA EA SPORTS
Sporting CP,26,Liga Portugal
FC Porto,27,Liga Portugal
Real Sociedad,28,LALIGA EA SPORTS
SL Benfica,29,Liga Portugal
Fenerbahçe,30,Trendyol Süper Lig
Beþiktaþ,31,Trendyol Süper Lig
Villarreal CF,32,LALIGA EA SPORTS
Everton,33,Premier League
Lazio,34,Serie A Enilive
West Ham,35,Premier League
Girona FC,36,LALIGA EA SPORTS
Torino,37,Serie A Enilive
Real Betis,38,LALIGA EA SPORTS
TSG Hoffenheim,39,Bundesliga
Atalanta,40,Serie A Enilive
RCD Mallorca,41,LALIGA EA SPORTS
SC Freiburg,42,Bundesliga
OL,43,Ligue 1 McDonald's
Fulham,44,Premier League
RC Lens,45,Ligue 1 McDonald's
Frankfurt,46,Bundesliga
Como,47,Serie A Enilive
SC Braga,48,Liga Portugal
LOSC Lille,49,Ligue 1 McDonald's
PSV,50,Eredivisie
Crystal Palace,51,Premier League
Bologna,52,Serie A Enilive
AS Monaco,53,Ligue 1 McDonald's
Feyenoord,54,Eredivisie
Brighton,55,Premier League
Rayo Vallecano,56,LALIGA EA SPORTS
Southampton,57,Premier League
Trabzonspor,58,Trendyol Süper Lig
Getafe CF,59,LALIGA EA SPORTS
VfB Stuttgart,60,Bundesliga
UD Las Palmas,61,LALIGA EA SPORTS
Royal Antwerp FC,62,1A Pro League
VfL Wolfsburg,63,Bundesliga
OGC Nice,64,Ligue 1 McDonald's
AFC Bournemouth,65,Premier League
Lecce,66,Serie A Enilive
Sevilla FC,67,LALIGA EA SPORTS
Fiorentina,68,Serie A Enilive
Ajax,69,Eredivisie
OM,70,Ligue 1 McDonald's
Brentford,71,Premier League
Montpellier,72,Ligue 1 McDonald's
FC Twente,73,Eredivisie
Club Brugge,74,1A Pro League
Wolves,75,Premier League
Stade Brestois 29,76,Ligue 1 McDonald's
CA Osasuna,77,LALIGA EA SPORTS
AZ,78,Eredivisie
Nott'm Forest,79,Premier League
CD Leganés,80,LALIGA EA SPORTS
M'gladbach,81,Bundesliga
Monza,82,Serie A Enilive
Strasbourg,83,Ligue 1 McDonald's
Union Berlin,84,Bundesliga
1. FSV Mainz 05,85,Bundesliga
Kasýmpaþa,86,Trendyol Süper Lig
Leicester City,87,Premier League
Stade Rennais FC,88,Ligue 1 McDonald's
Stade de Reims,89,Ligue 1 McDonald's
D. Alavés,90,LALIGA EA SPORTS
Toulouse FC,91,Ligue 1 McDonald's
RSC Anderlecht,92,1A Pro League
SV Werder Bremen,93,Bundesliga
KRC Genk,94,1A Pro League
Cagliari,95,Serie A Enilive
R. Valladolid CF,96,LALIGA EA SPORTS
Genoa,97,Serie A Enilive
Hellas Verona,98,Serie A Enilive
Ipswich,99,Premier League
RCD Espanyol,100,LALIGA EA SPORTS
Parma,101,Serie A Enilive
